geldi	o gelmek
şaşırdım	ben şaşırmak
görüyorum	ben görmek
babam	benim baba
kardeşim	benim kardeş
iyiydi	iyi
iyiyim	ben iyi
buzdolabı	buz dolap
düşünmeliyiz	biz düşünmek
güzeldi	güzel
şaşırmıştım	ben şaşırmak
kapıyı kapattım	ben kapı kapatmak
ailemle konuşuyordum	ben benim aile ile konuşmak
kalabalık sessizdi	kalabalık sessiz
ağzını kapat	sen senin ağız kapatmak
saatler alacak	çok saat almak
hemen gel	sen hemen gelmek
iş nasıl	iş nasıl ?
onunla gitmedim	ben onun ile gitmek değil
duruma göre	durum göre
gitmekten vazgeçtim	ben gitmek vazgeçmek
aile önemlidir	aile önemli
hastaneye gittim	ben hastane gitmek
amcamla yaşıyorum	ben benim amca ile yaşamak
herkes ağlar	herkes ağlamak
ailem nerede	benim aile nerede ?
iyi akşamlar	iyi_akşamlar
sizi sevmiyorum	ben siz sevmek değil
gidiyor muyuz	biz gitmek ?
dışarıda bekle	sen dışarı orada beklemek
hepsi burada	hepsi burada
oraya gidiyoruz	biz oraya gitmek
not alıyorum	ben not almak
o gitmedi	o gitmek değil
kendimi düzelttim	ben kendim düzeltmek
onu düşündüm	ben o düşünmek
o gidiyor	o gitmek
o düşünüyor	o düşünmek
herkes ödedi	herkes ödemek
mutlu hissetti	o mutlu hissetmek
korkmuş hissetti	o korkmak hissetmek
yatağa gidiyorum	ben yatak gitmek
hayat nasıl	hayat nasıl ?
hayvanları severim	ben hayvan onlar sevmek
sessiz kaldım	ben sessiz kalmak
hepsi temiz	hepsi temiz
televizyonumu kapattım	ben benim televizyon kapatmak
onlarla gitmeyeceğim	ben onlar ile gitmek değil
alışverişe gideceğiz	biz alışveriş gitmek
adam kaçtı	adam kaçmak
dışarı çıkmalıyım	ben dışarı çıkmak
hiç yürüyemiyorum	ben hiç yürümek değil
biraz hastayım	ben biraz hasta
üretim düşük	üretim düşük
bunu düzelttim	ben bu düzeltmek
herkes ayrıldı	herkes ayrılmak
bavul hazırlıyoruz	biz bavul hazırlamak
işten atılıyorum	ben iş atılmak
kardan hoşlanmıyorum	ben kar hoşlanmak değil
aceleyle gittiler	onlar acele gitmek
kapımı kapattım	ben benim kapı kapatmak
ne düşünüyorsun	sen ne düşünmek ?
korku hissettim	ben korku hissetmek
ağrı hissettim	ben ağrı hissetmek
bavulu kapattık	biz bavul kapatmak
sizi severim	ben siz sevmek
heyecanlı hissettim	ben heyecan hissetmek
geri dönüyorum	ben geri dönmek
alışverişe gidiyorum	ben alışveriş gitmek
onlar kalktı	onlar kalkmak
arabayla gidiyorum	ben araba ile gitmek
yeni taşındım	ben yeni taşınmak
gitmek istiyoruz	biz gitmek istemek
kötü hissettim	ben kötü hissetmek
hava sıcak	hava sıcak
uzaklara gitmeyeceğim	ben uzak gitmek değil
doğuya gidiyoruz	biz doğu gitmek
alışveriş yaptım	ben alışveriş yapmak
dışarısı soğuktu	dışarı soğuk
batıya gidiyoruz	biz batı gitmek
iyi gidiyor	iyi gitmek
kahvaltı yiyorum	ben kahvaltı yemek
onlar gitti	onlar gitmek
neden gitmedin	sen neden gitmek değil ?
eve gidiyoruz	biz ev gitmek
kahvaltı hazır	kahvaltı hazır
hepsini yapabilir	o hepsi yapmak
nasıl gidiyor	nasıl gitmek ?
gitmeyi düşünüyorum	ben gitmek düşünmek
kapıyı kapat	sen kapı kapatmak
hepsini hatırlıyorum	ben hepsi hatırlamak
onu gönderdim	ben o göndermek
okula gidiyorum	ben okul gitmek
ailem küçük	benim aile küçük
meydan kalabalıktı	meydan kalabalık
hepsini denedik	biz hepsi denemek
kapat şunu	sen kapatmak şu
çok düşündüm	ben çok düşünmek
işe git	sen iş gitmek
gitti mi	o gitmek ?
sinemaya gittik	biz sinema gitmek
hızlı çalışıyorum	ben hızlı çalışmak
kahvaltı hazırladım	ben kahvaltı hazırlamak
okula gitmedim	ben okul gitmek değil
hastaneye gitmeliyim	ben hastane gitmek
herkes gemiye	herkes gemi
ailem yok	benim aile yok
sebebini anlamıyorum	ben sebep anlamak değil
kalabalık büyüktü	kalabalık büyük
herkes katılabilir	herkes katılmak
herkes kazanır	herkes kazanmak
dışarıda yiyelim	biz dışarı orada yemek
hastaneye gitmelisin	sen hastane gitmek
şimdi gidemiyorum	ben şimdi gitmek değil
şimdi kalktım	ben şimdi kalkmak
hemen giderim	ben hemen gitmek
hava güzeldir	hava güzel
kapıları kapat	sen kapı kapatmak
masayı hazırladı	o masa hazırlamak
şimdi geldim	ben şimdi gelmek
gidip değiştireceğim	ben gitmek değiştirmek
çok düşük	çok düşük
onu anlamıyorum	ben o anlamak değil
alışverişe gidecekler	onlar alışveriş gitmek
hastane kalabalık	hastane kalabalık
harika hissetmiyorum	ben harika hissetmek değil
erken kapattık	biz erken kapatmak
ailem zengin	benim aile zengin
hemen geleceğim	ben hemen gelmek
kediyi gördüm	ben kedi görmek
baygın hissediyorum	ben baygın hissetmek
birlikte gittiler	onlar birlikte gitmek
notunu aldım	ben senin not almak
içecekleri hazırlıyoruz	biz içecek hazırlamak
hayvanları seviyor	o hayvan onlar sevmek
herkese selam	herkes selam
hazır mıyız	biz hazır ?
herkese gülümsedim	ben herkes gülümsemek
o hastanede	o hastane orada
kızımı anlamıyorum	ben benim kız anlamak değil
başım döndü	benim baş dönmek
hemen gitmeliyim	ben hemen gitmek
dışarıda uyudum	ben dışarı orada uyumak
bırakmayı düşünüyorum	ben bırakmak düşünmek
sınava giremedi	o sınav girmek değil
dün hastaydım	ben dün hasta
kalabalık çıldırdı	kalabalık çıldırmak
ne aldım	ben ne almak ?
arabayla gittim	ben araba ile gitmek
dışarıya çıktık	biz dışarı çıkmak
onu anlamadım	ben o anlamak değil
televizyonu kapat	sen televizyon kapatmak
çantamı alacağım	ben benim çanta almak
mükemmel hissetti	o mükemmel hissetmek
harika gidiyor	harika gitmek
alışverişe giderler	onlar alışveriş gitmek
hastanede olmalısın	sen hastane orada olmak
ailemle yaşamıyorum	ben benim aile ile yaşamak değil
pasaportlarımızı aldılar	onlar bizim pasaport almak
ekmek pişirdim	ben ekmek pişirmek
yalnız gitmiyorum	ben yalnız gitmek değil
güneye gidiyorum	ben güney gitmek
yakında gidiyorum	ben yakında gitmek
iş nedir	iş ne ?
sen dışarıdasın	sen dışarı orada
iyi hissetmiyor	o iyi hissetmek değil
işe başlayın	siz iş başlamak
otobüs kalabalıktı	otobüs kalabalık
tren kalabalıktı	tren kalabalık
öyle düşündüm	ben öyle düşünmek
alışverişe gidiyoruz	biz alışveriş gitmek
hepsini al	sen hepsi almak
dün sıcaktı	dün sıcak
hemen ayrılmalısın	sen hemen ayrılmak
kitabını kapat	sen senin kitap kapatmak
geri dönüyoruz	biz geri dönmek
ona gönderdim	ben ona göndermek
