iyi geçti mi	iyi geçmek ?
ben orada eğlendim	ben orada eğlenmek
onu partide gördüm	ben o parti orada görmek
onlar benim gerçek ailem değil	onlar benim gerçek aile değil
onların ne söylediklerini öğren	sen onlar ne söylemek sen öğrenmek
kahve ister misin	sen kahve istemek ?
bu insanlarla hiç tanışmadım	ben bu insan onlar ile hiç tanışmak değil
bir roman okuyor	o bir roman okumak
oraya erken gel	sen oraya erken gelmek
onları gördün mü	sen onlar görmek ?
bana niye söylemedin	sen bana niye söylemek değil ?
burada dolaşırken düşen kayalara dikkat etmelisin	sen burada dolaşmak kaya düşmek sen dikkat_etmek lazım
ben eski arabaları severim	ben eski araba x2 sevmek
bugün yeni beş kitap aldım	ben bugün yeni beş kitap almak
onun etkisi tüm ülkeye yayılır	onun etki tüm ülke yayılmak
biz işleri daha iyi yaparız	biz iş onlar daha iyi yapmak
başka ne seviyorsun	sen başka ne sevmek ?
neden işe gitmedin	sen neden iş gitmek değil ?
onun arabasının tekerlekleri yok	onun araba tekerlek yok
o kız arkadaşıyla kavga etti	o onun kız arkadaş ile kavga_etmek
ben bir barda çalışıyorum	ben bir bar orada çalışmak
bunu seninle yapmak isterdi	o istemek bu senin ile yapmak
o geldi mi	o gelmek ?
annemle beraber doktara gitti	o benim anne ile beraber doktor gitmek
kazanmak istedim	ben kazanmak istemek
herkes bu restorandaki yemeğin çok iyi olduğunu söylüyor	herkes bu restoran yemek çok iyi olmak söylemek
evde kimse yoktu	ev orada kimse yok
anne kedi nerede	anne kedi nerede ?
onun kim olduğundan emin değilim	ben onun kim olmak emin değil
bisikletimi erkek kardeşim tamir etti	benim bisiklet benim erkek kardeş tamir_etmek
patronun adamları düşmanı kovalamaya devam etti	patron onun adam onlar düşman kovalamak devam_etmek
ben bir ev kadınıyım	ben bir ev kadın
çok trafik vardı	çok trafik var
sevgilisini anlamadım	ben onun sevgili anlamak değil
herkes ağlar	herkes ağlamak
bir not bıraktım	ben bir not bırakmak
yağmurlu bir gündü	yağmur bir_gün
şimdi nereye gidiyoruz	biz şimdi nereye gitmek ?
o ben geldikten üç saat sonra buraya geldi	o ben gelmek üç saat sonra bura gelmek
sanırım bir doktora ihtiyacımız var	ben sanmak bizim bir doktor ihtiyaç var
hiç kimse savaşı sevmez	hiç_kimse savaş sevmek değil
dışarıda yemek yemeyi sevmiyorum	ben dışarı orada yemek yemek sevmek değil
pahalı telefonun özellikleri daha iyi değildi	pahalı telefon özellik daha iyi değil
tüm polisleri aradı	o tüm polis onlar aramak
galiba bizi takip edeni biri var	galiba biz takip_etmek biri var
ona yazdım	ben ona yazmak
babamla birlikte balık tutmaya gitmek istiyorum	ben benim baba ile birlikte balık tutmak gitmek istemek
kamyon süremem	ben kamyon sürmek değil
o gripten dolayı izinlidir	o grip yüzünden izin_almak
ne yapacağım	ben ne yapmak ?
polis buradaydı	polis burada
bugün birisini işe aldım	ben bugün biri iş almak
neden bununla zamanını boşa harcıyorsun	sen neden bu ile zaman boş harcamak
bir takvim alacağım	ben bir takvim almak
bu mektubu kim gönderdi	bu mektup kim göndermek ?
kedileri severim	ben kedi onlar sevmek
ameliyatımı kim yapacak	benim ameliyat kim yapmak ?
o kahvaltı için onunla buluştu	o kahvaltı için onun ile buluşmak
okulunu ziyaret edeceğim için mutluyum	ben senin okul ziyaret_etmek için mutlu olmak
boş musun	sen boş ?
yemek istedim	ben yemek istemek
yataktan çıkmamalısın	sen yatak çıkmak
iki kişi sarıldı	iki kişi sarılmak
o gitmiş	o gitmek
onu istiyor musun	sen o istemek ?
pazartesi yağmurlu bir gündü	pazartesi yağmur bir_gün
o şiddetle özlemiş olacak	o şiddet ile özlemek olmak
ne güzel bir resim	ne güzel bir resim
eski arkadaşları ziyaret etmek eğlencelidir	eski arkadaş x2 ziyaret_etmek eğlenceli
bunu ezbere öğrendim	ben bu ezber öğrenmek
bu konuda biraz endişelendim	ben bu konu biraz endişelenmek
o erken kalkıyor	o erken kalkmak
bu rapor eksik	bu rapor eksik
o evi sevdim	ben sevmek o ev
salonda konuşabilir miyiz	biz salon orada konuşmak ?
ona birkaç yıl ver	sen ona birkaç yıl vermek
babam hasta oldu	benim baba hasta_olmak
benim dersane öğretmenim annemle aynı yaşta	benim dershane öğretmen benim anne ile aynı yaş
sesler duydum	ben ses x2 duymak
kuzenini işe almak istiyorum	ben senin kuzen iş almak istemek
doktorun ameliyatı yapması sekiz saat sürdü	doktor ameliyat sekiz saat olmak
onlar evet dediler	onlar evet demek
anne şu anda akşam yemeği hazırlıyor	anne şu an akşam yemek hazırlamak
ciddi olmanın zamanı geldi	senin ciddi olmak zaman gelmek
kaçmak için şansım yoktu	kaçmak için benim şans yok
bulunması zor	o bulmak zor
annesi hastanede uyandı	onun anne hastane orada uyanmak
adamın bir silahı vardı	adam onun bir silah var
ben yoksulluk içinde yaşadım	ben yoksul içinde yaşamak
çalışmanı bitirdin mi	sen çalışmak bitirmek ?
kaç tane vardı	kaç tane var ?
şişman pis kokan adam bir şapka aldı	şişman pis kokmak adam bir şapka almak
ona bir soru sordum	ben ona bir soru sormak
o bunu kabul etmek istemiyor ama o yarınki dans için heyecanlı	o bu kabul_etmek istemek ama o yarın dans için heyecan
ben havyar yedim	ben balık yumurta yemek
biraz uyu	biraz uyumak
para kazanıyorum	ben para kazanmak
mutlu bayramlar	mutlu bayram
belki türkçe okuyacağım	ben belki türkçe okumak
denemek işe yaramaz	denemek iş yaramaz
sen senin sütünü içmeyi bitir	sen senin süt içmek bitirmek
o futbol oynar	o futbol oynamak
anlasana bu benim sorunum	sen anlamak bu benim sorun
onun allaha inancı çok sağlam	onun allah inanç çok sağlam
her zaman mutluydu	o her zaman mutlu
ben inanmıyorum	ben inanmak değil
hepimiz gidiyoruz	biz hepimiz gitmek
onunla evlendiğinden beri konuşmadım	ben onun ile evlenmek beri konuşmak değil
yaptığımız hiçbir şeyin önemi yoktur	bizim yapmak hiç bir_şey önem yok
ben sadece birinci sınıf öğrencisiyim	ben sadece birinci sınıf öğrenci
kim olduğunu merak ediyorum	ben kim olmak merak_etmek
kimse o adamı sevmiyor	kimse o adam sevmek değil
bugün dışarı çıkacağım	ben bugün dışarı çıkmak
bunu onun için aldık	biz bu onun için almak
babam evden kardeşimi almak için çıktı	benim baba ev orada benim kardeş almak için çıkmak
bana parayı göster	sen bana para göstermek
onu kapat	sen o kapatmak
